Emotion,Clean_content
sadness,layin n bed headache ughhhhwaitin
sadness,funeral ceremonygloomy friday
enthusiasm,wants hang friends soon
worry,repinging didnt prom bc bf didnt like friends
sadness,sleep im thinking old friend want hes married damn amp wants scandalous
worry,hmmm
sadness,charlene love miss
sadness,im sorry friday
worry,choked retainers
sadness,ugh beat stupid song rude
sadness,u watch hills london u realise tourture weeks weeks late watch itonlinelol
sadness,storm electricity gone
sadness,sleepy late fail
worry,lady gaga tweeted impressed video leaking know
sadness,convinced wanted signals offdamn think lost friend
worry,oh bad hope gets better ive sleep issues lately
worry,ate dont know telling things food
sadness,tired think im definitely going ear infection going bed quotearlyquot
worry,way home n deal w underage girls drinking gin da bus talking bout keggersdamn feel old
sadness,im sorry people rude isaac manners know better lewd
worry,damm servers need hit koxpers pass
sadness,fudge bsd paper tired ugh hate school time sleep
worry,hate cancer hate hate hate
sadness,yeah feel funny cause havent slept woke mum cause singing shes impressed
worry,need skott right
happiness,mmm better day far early day
worry,picked blackberry middle street crushed
worry,feeling packing hitting sfo time year think im missing
worry,bed time hope school tomorrow dont feel right
worry,ahh hoping learn stuff way work separate things
sadness,im problem photo twitter amfcant face
worry,tired
worry,sucks able days work money trip sad
enthusiasm,bedsorta today good sara strep thought angelina shared water b told prob
sadness,aww onward upwards yay sad leave bet
worry,haha poor aby gets sore
sadness,diesel yaris mpg sad available thatd awesome
sadness,want buy great album unfortunately dont hav enuff funds quotlong time noisyquot
sadness,honestypain blech
sadness,ok passengers alive theyre dead dont know til end cry
worry,ia havent happy cooks choices singles
sadness,fell asleep beach didnt sunscreen lol
worry,think son flu cause def cleaned stanky puke mess poor pumkpin
happiness,great oin amp cynthia happy dinner great cute little place bad oin got sick
worry,woman transfer impressions sexualmaternal threatening man weak
worry,bitten blood cat way rabies bacterin shots months wash cats home hate water
happiness,dude favorite sandwich place ummm pictures
worry,sad shin ae got marriedand wasnt alex
worry,sure tweet youre news abuzz tr knights leaving quotconfirmedquot today muy triste
sadness,ohh thursday exams day wednesday
sadness,thinking excited guys realized sad
worry,goooood mooorning people sun definitly spring spring hail storm car dimples
sadness,love itsakey usb sticks gb australia
worry,fresh prince sleepy sleeps nightly routine got ta dmv early tmrw
worry,jealous mom talking want twittering making miss
worry,cant sleepi thinking puppy played today
worry,im suppposed sleep got amp got song stuck head quotyour jerk iknowquot blaahh
worry,month summer strawberry availble chennai markets
sadness,hiii im ipodi cant fall asleep
sadness,dont wan na work tomorrow paid
sadness,feels sad coz wasnt able play guys
worry,dropped mobile charged data data pack
sadness,darn allergies dont like time year problem
worry,oh minute late oh
sadness,wanted come bz summer sure anymore teachers life summer sucks
worry,ahh big scary bug flying room
sadness,wish knew puts throughshe stole heart gave backand occasionally likes like look
worry,nasty cough cant sick huge weekend ahead
sadness,early happy day birth case dont tired therapy today n taking medicine misshu love ya
sadness,allergies suck ducks nuts ltgt
worry,died wait magic jack read
sadness,wonders karma points turned
happiness,need pack cali cali waittt thinking glass wine order celebrate weekend vaca work morrow tho
sadness,miserable feel like im gona cry sux
worry,nose stud fell cant find looks like ill head amsterdam today new
sadness,sigh im going bed dont feel right anymore
sadness,depressed watching think dance
sadness,cross cause im stuck twiddling thumbs ugh
worry,cant sleep im sore
worry,achieving new appreciation xml build script painful cumbersome
worry,cant
sadness,day working uni today sad times
worry,head hurts bad scream
worry,im tired airmatras broken im pain
worry,new work wellness challenge going committed check email pm failed day twice
worry,new blog post blog auto insuran found auto insurance policy expired careless meanw
worry,oh meni cant facecmon guys
worry,im showing age renewed tags week went got insurance renewal email today went dont wan na old
worry,sole supporter sole supporter
worry,urgh stop guys
sadness,missing husband want home
sadness,miss puppy
sadness,ive given pizza kids let fav hot ones
worry,reading tabloids peoples livesthinking im gon na baby leaves
sadness,yearling pet home died sad family
worry,got giant splinter stuck underneath finger nail today muppetsit hurt got aid time
sadness,hate change course fans life lt oh havent met rob went horribly wrong
worry,feeling sad reason
sadness,fuck new pain med odd warning actually applies cant chan displeased
sadness,uploaded new blog painful story year old man cried wanted die sad
worry,addicting kind curse night time everytime feel like making music
sadness,saw pics past thanksgiving sad grandma
worry,wont let
sadness,took shift tomorrow dont feel like working right
sadness,money phone
worry,spent night aampe er wife tangled wheels daughter amp hit deck dislocation amp fracture resulted
worry,days im ready visit torchwood theyve heard
sadness,bad red devils disappointing
sadness,ware se fast x xm ssd raid mhz iop hpt try adaptec ghz
worry,ate mandy forgive sorry dont wan na lose bff
worry,plane tickets expensive
worry,needs job badly
sadness,daaammmnnnnn wish
worry,went di bella coffee roasters today asked job person needed speak holiday
sadness,played parts voodoo village coop lost usual partner
sadness,bad friend
sadness,internet night er brill massive explosion end nearby gas works er standby
sadness,pity comes lamb
sadness,im sorry hear optimist things better
worry,people house know close doors
worry,dont like possibility left brain hurting thing called vp shunt possible death
sadness,cancel wow
worry,wants music profile dont money dont know write music dont know play instrument studio
sadness,yeahim sad quotravenclawquot account love account bits
worry,hear helicopter flying house thats kind weird news headache booooo
worry,oh lt
happiness,took math test today day test teacher says bring calculator luke confident teacher decided calcs
happiness,omg concert awesome madrigals gave chills piecebrooks called alumni didnt
sadness,late nothin
worry,think vog making sicker think feeling slightly achy
worry,homework sux big time maths worst
sadness,wish things way beginning summer
worry,downloaded new twitterfon update thinking fixing typing problem new tweets didnt
sadness,feel way guess matter memes
happiness,cant minutes treadmill minutes today gon na minutes
worry,im sooooooooooooo confused
worry,work day
happiness,chillin roomies cant wait zombie clwn cr gon na weeks
worry,refunds retrieve accounts takes like week hoping thief doesnt use hacks permaban
sadness,cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol
worry,super keen drive home rain additional concentration required dont wan na deal
worry,transport church wont making im crushed oh time assignments suppose throat hurts
worry,tried jumping trampoline like thud thud shouldnt eaten cookie
sadness,everytime send email coach feel need practice shitty balls lol
sadness,pissing letting follow ericka
sadness,going sleep peaceful wanted hear good night didnt happen good night
sadness,mums trying feel ebtter stopping voting adn winning shortstack cried
worry,forgot live jonas brothers facebook
sadness,havent seen muffin days
sadness,ill miss yall regards
worry,admit im bit bummed wasnt friends walking today
worry,twitter hacked
sadness,found mj mouse flats djs course left size
worry,dont want know know vhemt dont wed miss
sadness,knoww things wont samee lt
worry,omgness pm need beup early set garage sale starts wish said im beat
happiness,kno doooo yall partyin
worry,okay twitter suddenly changed respond messages
worry,decided matter good hair looks curly doesnt justify burn curler hands covered suck
sadness,going sleep gon na fall asleep playing apps tmrw going suck
worry,sprained ankle like badly tore stuffs hurts birthday weekend
sadness,cant believe metal gear solid song stolen im disappointed
sadness,wish left dead id need play
