Emotion,Clean_content,Sentiment
sadness,layin n bed headache ughhhhwaitin,Neutral
sadness,funeral ceremonygloomy friday,Neutral
enthusiasm,wants hang friends soon,Positive
worry,repinging didnt prom bc bf didnt like friends,Neutral
sadness,sleep im thinking old friend want hes married damn amp wants scandalous,Positive
worry,hmmm,Negative
sadness,charlene love miss,Positive
sadness,im sorry friday,Negative
worry,choked retainers,Neutral
sadness,ugh beat stupid song rude,Negative
sadness,u watch hills london u realise tourture weeks weeks late watch itonlinelol,Negative
sadness,storm electricity gone,Neutral
sadness,sleepy late fail,Negative
worry,lady gaga tweeted impressed video leaking know,Positive
sadness,convinced wanted signals offdamn think lost friend,Neutral
worry,oh bad hope gets better ive sleep issues lately,Negative
worry,ate dont know telling things food,Neutral
sadness,tired think im definitely going ear infection going bed quotearlyquot,Negative
worry,way home n deal w underage girls drinking gin da bus talking bout keggersdamn feel old,Positive
sadness,im sorry people rude isaac manners know better lewd,Negative
worry,damm servers need hit koxpers pass,Negative
sadness,fudge bsd paper tired ugh hate school time sleep,Negative
worry,hate cancer hate hate hate,Negative
sadness,yeah feel funny cause havent slept woke mum cause singing shes impressed,Negative
worry,need skott right,Positive
happiness,mmm better day far early day,Positive
worry,picked blackberry middle street crushed,Negative
worry,feeling packing hitting sfo time year think im missing,Negative
worry,bed time hope school tomorrow dont feel right,Positive
worry,ahh hoping learn stuff way work separate things,Neutral
sadness,im problem photo twitter amfcant face,Neutral
worry,tired,Negative
worry,sucks able days work money trip sad,Negative
enthusiasm,bedsorta today good sara strep thought angelina shared water b told prob,Positive
sadness,aww onward upwards yay sad leave bet,Negative
worry,haha poor aby gets sore,Negative
sadness,diesel yaris mpg sad available thatd awesome,Positive
sadness,want buy great album unfortunately dont hav enuff funds quotlong time noisyquot,Positive
sadness,honestypain blech,Negative
sadness,ok passengers alive theyre dead dont know til end cry,Positive
worry,ia havent happy cooks choices singles,Positive
sadness,fell asleep beach didnt sunscreen lol,Positive
